                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                fitness,               f1_score,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10597,                    0.5,                      1,                      1,                0.66667,                0.02432,                 0.0748,                 0.0028,                 0.0028
                      1,                0.09277,                    0.5,                      1,                      1,                0.66667,                0.02325,               0.048644,              0.0056436,              0.0056436
                      2,                0.09046,                    0.5,                      1,                      1,                0.66667,                 0.0229,                0.02243,              0.0084297,              0.0084297
                      3,                0.09184,                    0.5,                      1,                      1,                0.66667,                0.02325,               0.009703,               0.009703,               0.009703
                      4,                0.09409,                    0.5,                      1,                      1,                0.66667,                0.02496,               0.009703,               0.009703,               0.009703
                      5,                0.09215,                    0.5,                      1,                      1,                0.66667,                0.02412,               0.009604,               0.009604,               0.009604
                      6,                0.08659,                    0.5,                      1,                      1,                0.66667,                 0.0249,               0.009505,               0.009505,               0.009505
                      7,                0.08737,                    0.5,                      1,                      1,                0.66667,                0.02328,               0.009406,               0.009406,               0.009406
                      8,                0.08881,                    0.5,                      1,                      1,                0.66667,                0.02258,               0.009307,               0.009307,               0.009307
                      9,                0.08931,                    0.5,                      1,                      1,                0.66667,                 0.0249,               0.009208,               0.009208,               0.009208
                     10,                0.08701,                    0.5,                      1,                      1,                0.66667,                0.02338,               0.009109,               0.009109,               0.009109
                     11,                0.09047,                    0.5,                      1,                      1,                0.66667,                0.02417,                0.00901,                0.00901,                0.00901
                     12,                 0.0875,                    0.5,                      1,                      1,                0.66667,                0.02324,               0.008911,               0.008911,               0.008911
                     13,                 0.0829,                    0.5,                      1,                      1,                0.66667,                0.02396,               0.008812,               0.008812,               0.008812
                     14,                 0.0782,                    0.5,                      1,                      1,                0.66667,                0.02164,               0.008713,               0.008713,               0.008713
                     15,                0.08164,                    0.5,                      1,                      1,                0.66667,                0.02069,               0.008614,               0.008614,               0.008614
                     16,                0.07692,                    0.5,                      1,                      1,                0.66667,                0.01973,               0.008515,               0.008515,               0.008515
                     17,                 0.0776,                    0.5,                      1,                      1,                0.66667,                0.02199,               0.008416,               0.008416,               0.008416
                     18,                0.07922,                    0.5,                      1,                      1,                0.66667,                0.02303,               0.008317,               0.008317,               0.008317
                     19,                0.07804,                    0.5,                      1,                      1,                0.66667,                0.02464,               0.008218,               0.008218,               0.008218
                     20,                0.07877,                    0.5,                      1,                      1,                0.66667,                0.02063,               0.008119,               0.008119,               0.008119
                     21,                0.08722,                    0.5,                      1,                      1,                0.66667,                0.02071,                0.00802,                0.00802,                0.00802
                     22,                0.08005,                    0.5,                      1,                      1,                0.66667,                0.02328,               0.007921,               0.007921,               0.007921
                     23,                0.07824,                    0.5,                      1,                      1,                0.66667,                0.02199,               0.007822,               0.007822,               0.007822
                     24,                0.07714,                    0.5,                      1,                      1,                0.66667,                0.02072,               0.007723,               0.007723,               0.007723
                     25,                0.07684,                    0.5,                      1,                      1,                0.66667,                0.01794,               0.007624,               0.007624,               0.007624
                     26,                0.07864,                    0.5,                      1,                      1,                0.66667,                0.02118,               0.007525,               0.007525,               0.007525
                     27,                0.07722,                    0.5,                      1,                      1,                0.66667,                 0.0233,               0.007426,               0.007426,               0.007426
                     28,                0.07308,                    0.5,                      1,                      1,                0.66667,                0.02217,               0.007327,               0.007327,               0.007327
                     29,                0.07763,                    0.5,                      1,                      1,                0.66667,                0.01974,               0.007228,               0.007228,               0.007228
                     30,                0.07477,                    0.5,                      1,                      1,                0.66667,                0.01965,               0.007129,               0.007129,               0.007129
                     31,                0.06588,                    0.5,                      1,                      1,                0.66667,                0.02356,                0.00703,                0.00703,                0.00703
                     32,                0.07391,                    0.5,                      1,                      1,                0.66667,                0.02325,               0.006931,               0.006931,               0.006931
                     33,                0.06566,                    0.5,                      1,                      1,                0.66667,                0.02267,               0.006832,               0.006832,               0.006832
                     34,                0.07295,                    0.5,                      1,                      1,                0.66667,                0.02441,               0.006733,               0.006733,               0.006733
                     35,                0.06985,                    0.5,                      1,                      1,                0.66667,                0.02284,               0.006634,               0.006634,               0.006634
                     36,                0.06738,                    0.5,                      1,                      1,                0.66667,                0.02101,               0.006535,               0.006535,               0.006535
                     37,                0.06813,                      1,                      1,                      1,                      1,                0.01466,               0.006436,               0.006436,               0.006436
                     38,                0.07033,                    0.5,                      1,                      1,                0.66667,                0.01958,               0.006337,               0.006337,               0.006337
                     39,                 0.0604,                    0.5,                      1,                      1,                0.66667,                0.02361,               0.006238,               0.006238,               0.006238
